country,category,category_n,date_signed_convention,date_ratified_convention,date_signed_protocol,date_ratified_protocol,year,corruption_score,democracy_index,democracy_cat,freedom_index,dgp_per_capita,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,masculinity
Albania,ratified protocol,3,2009-12-22,2013-02-11,NA,NA,2020,36,6.08,Flawed Democracy,67,5343.04,NA,NA,NA,NA,39.5,60.5,NA,90,27,80,70,56,15,NA
Albania,ratified protocol,3,2009-12-22,2013-02-11,NA,NA,2019,35,5.89,Hybrid Regime,68,5396.21,NA,NA,NA,NA,40.3,59.7,11.47,90,27,80,70,56,15,NA
Albania,ratified protocol,3,2009-12-22,2013-02-11,NA,NA,2018,36,5.98,Hybrid Regime,68,5287.66,NA,NA,NA,NA,39.9,60.1,12.3,90,27,80,70,56,15,NA
Albania,ratified protocol,3,2009-12-22,2013-02-11,NA,NA,2017,38,5.98,Hybrid Regime,68,4531.03,NA,NA,NA,NA,44.3,55.7,13.62,90,27,80,70,56,15,NA
Algeria,ratified protocol,3,2007-03-30,2009-12-04,2007-03-30,NA,2023,NA,NA,NA,32,NA,NA,NA,NA,NA,52.6,47.4,NA,80,29,35,70,25,32,NA
Algeria,ratified protocol,3,2007-03-30,2009-12-04,2007-03-30,NA,2022,33,3.66,Authoritarian Regime,32,4273.92,NA,NA,NA,NA,53.8,46.2,NA,80,29,35,70,25,32,NA
Algeria,ratified protocol,3,2007-03-30,2009-12-04,2007-03-30,NA,2021,33,3.77,Authoritarian Regime,32,3700.31,0.74,76.38,14.63,8.07,51.9,48.1,NA,80,29,35,70,25,32,NA
Algeria,ratified protocol,3,2007-03-30,2009-12-04,2007-03-30,NA,2020,36,3.77,Authoritarian Regime,34,3354.16,NA,NA,NA,NA,49.8,50.2,NA,80,29,35,70,25,32,NA
Algeria,ratified protocol,3,2007-03-30,2009-12-04,2007-03-30,NA,2019,35,4.01,Hybrid Regime,34,4021.98,NA,NA,NA,NA,48.3,51.7,NA,80,29,35,70,25,32,NA
Algeria,ratified protocol,3,2007-03-30,2009-12-04,2007-03-30,NA,2018,35,3.5,Authoritarian Regime,35,4171.8,NA,NA,NA,NA,50.7,49.3,NA,80,29,35,70,25,32,NA
Algeria,ratified protocol,3,2007-03-30,2009-12-04,2007-03-30,NA,2017,33,3.56,Authoritarian Regime,35,4134.94,NA,NA,NA,NA,49.6,50.4,12,80,29,35,70,25,32,NA
Andorra,ratified both convention and protocol,4,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2023,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both convention and protocol,4,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2022,NA,NA,NA,93,41992.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both convention and protocol,4,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2021,NA,NA,NA,93,42072.34,0.86,80.37,13.3,10.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both convention and protocol,4,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2020,NA,NA,NA,94,37207.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both convention and protocol,4,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2019,NA,NA,NA,94,41328.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both convention and protocol,4,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2018,NA,NA,NA,96,42904.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ratified both convention and protocol,4,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2017,NA,NA,NA,95,40632.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,ratified both convention and protocol,4,NA,2014-05-19,NA,2014-05-19,2023,NA,NA,NA,28,NA,NA,NA,NA,NA,65.4,34.6,NA,83,18,20,60,15,83,NA
Angola,ratified both convention and protocol,4,NA,2014-05-19,NA,2014-05-19,2022,33,3.96,Authoritarian Regime,30,2998.5,NA,NA,NA,NA,66.4,33.6,NA,83,18,20,60,15,83,NA
Angola,ratified both convention and protocol,4,NA,2014-05-19,NA,2014-05-19,2021,29,3.37,Authoritarian Regime,31,1903.72,0.59,61.64,12.17,5.42,66.6,33.4,15.8,83,18,20,60,15,83,NA
Angola,ratified both convention and protocol,4,NA,2014-05-19,NA,2014-05-19,2020,27,3.66,Authoritarian Regime,32,1502.95,NA,NA,NA,NA,65,35,NA,83,18,20,60,15,83,NA
Angola,ratified both convention and protocol,4,NA,2014-05-19,NA,2014-05-19,2019,26,3.72,Authoritarian Regime,31,2142.24,NA,NA,NA,NA,NA,NA,16.5,83,18,20,60,15,83,NA
Angola,ratified both convention and protocol,4,NA,2014-05-19,NA,2014-05-19,2018,19,3.62,Authoritarian Regime,26,2487.5,NA,NA,NA,NA,NA,NA,NA,83,18,20,60,15,83,NA
Angola,ratified both convention and protocol,4,NA,2014-05-19,NA,2014-05-19,2017,19,3.62,Authoritarian Regime,24,2283.21,NA,NA,NA,NA,65.5,34.5,NA,83,18,20,60,15,83,NA
Antigua and Barbuda,ratified protocol,3,2007-03-30,2016-01-07,2007-03-30,NA,2023,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2007-03-30,2016-01-07,2007-03-30,NA,2022,NA,NA,NA,85,18745.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2007-03-30,2016-01-07,2007-03-30,NA,2021,NA,NA,NA,85,16740.35,0.79,78.5,14.18,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2007-03-30,2016-01-07,2007-03-30,NA,2020,NA,NA,NA,85,15284.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2007-03-30,2016-01-07,2007-03-30,NA,2019,NA,NA,NA,84,18187.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2007-03-30,2016-01-07,2007-03-30,NA,2018,NA,NA,NA,83,17514.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ratified protocol,3,2007-03-30,2016-01-07,2007-03-30,NA,2017,NA,NA,NA,83,16110.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ratified both convention and protocol,4,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2023,NA,NA,NA,85,NA,NA,NA,NA,NA,64.3,35.7,NA,49,51,56,86,29,62,56
Argentina,ratified both convention and protocol,4,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2022,38,6.85,Flawed Democracy,84,13686.01,NA,NA,NA,NA,64.1,35.9,NA,49,51,56,86,29,62,56
Argentina,ratified both convention and protocol,4,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2021,38,6.81,Flawed Democracy,84,10636.12,0.84,75.39,17.87,11.15,63.3,36.7,8.74,49,51,56,86,29,62,56
Argentina,ratified both convention and protocol,4,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2020,42,6.95,Flawed Democracy,85,8496.43,NA,NA,NA,NA,61.8,38.2,11.46,49,51,56,86,29,62,56
Argentina,ratified both convention and protocol,4,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2019,45,7.02,Flawed Democracy,84,9963.67,NA,NA,NA,NA,62.6,37.4,9.84,49,51,56,86,29,62,56
Argentina,ratified both convention and protocol,4,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2018,40,7.02,Flawed Democracy,83,11795.16,NA,NA,NA,NA,61.8,38.2,9.22,49,51,56,86,29,62,56
Argentina,ratified both convention and protocol,4,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2017,39,6.96,Flawed Democracy,82,14613.04,NA,NA,NA,NA,62.6,37.4,8.35,49,51,56,86,29,62,56
Armenia,ratified both convention and protocol,4,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2023,NA,NA,NA,54,NA,NA,NA,NA,NA,22,78,NA,85,17,50,88,38,25,NA
Armenia,ratified both convention and protocol,4,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2022,46,5.63,Hybrid Regime,55,7014.21,NA,NA,NA,NA,22.1,77.9,NA,85,17,50,88,38,25,NA
Armenia,ratified both convention and protocol,4,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2021,49,5.49,Hybrid Regime,55,4966.51,0.76,72.04,13.12,11.33,23.3,76.7,10.01,85,17,50,88,38,25,NA
Armenia,ratified both convention and protocol,4,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2020,49,5.35,Hybrid Regime,53,4505.87,NA,NA,NA,NA,21.6,78.4,12.18,85,17,50,88,38,25,NA
Armenia,ratified both convention and protocol,4,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2019,42,5.54,Hybrid Regime,51,4828.5,NA,NA,NA,NA,22,78,12.2,85,17,50,88,38,25,NA
Armenia,ratified both convention and protocol,4,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2018,35,4.79,Hybrid Regime,45,4391.92,NA,NA,NA,NA,28.3,71.7,13.21,85,17,50,88,38,25,NA
Armenia,ratified both convention and protocol,4,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2017,35,4.11,Hybrid Regime,45,4042,NA,NA,NA,NA,27.1,72.9,17.7,85,17,50,88,38,25,NA
Australia,ratified both convention and protocol,4,2007-03-30,2008-07-17,NA,2009-08-21,2023,NA,NA,NA,95,NA,NA,NA,NA,NA,45.5,54.5,NA,38,73,61,51,56,71,61
Australia,ratified both convention and protocol,4,2007-03-30,2008-07-17,NA,2009-08-21,2022,75,8.71,Full Democracy,95,64491.43,NA,NA,NA,NA,43.8,56.2,3.7,38,73,61,51,56,71,61
Australia,ratified both convention and protocol,4,2007-03-30,2008-07-17,NA,2009-08-21,2021,73,8.9,Full Democracy,97,60444.5,0.95,84.53,21.05,12.73,42.4,57.6,5.12,38,73,61,51,56,71,61
Australia,ratified both convention and protocol,4,2007-03-30,2008-07-17,NA,2009-08-21,2020,77,8.96,Full Democracy,97,51722.07,NA,NA,NA,NA,41.4,58.6,6.46,38,73,61,51,56,71,61
Australia,ratified both convention and protocol,4,2007-03-30,2008-07-17,NA,2009-08-21,2019,77,9.09,Full Democracy,98,54941.07,NA,NA,NA,NA,42.8,57.2,5.16,38,73,61,51,56,71,61
Australia,ratified both convention and protocol,4,2007-03-30,2008-07-17,NA,2009-08-21,2018,77,9.09,Full Democracy,98,57206.99,NA,NA,NA,NA,42.5,57.5,5.3,38,73,61,51,56,71,61
Australia,ratified both convention and protocol,4,2007-03-30,2008-07-17,NA,2009-08-21,2017,77,9.09,Full Democracy,98,53934.15,NA,NA,NA,NA,42.4,57.6,5.59,38,73,61,51,56,71,61
Austria,ratified both convention and protocol,4,2007-03-30,2008-09-26,2007-03-30,2008-09-26,2023,NA,NA,NA,93,NA,NA,NA,NA,NA,27.3,72.7,NA,11,77,79,70,47,63,79
Austria,ratified both convention and protocol,4,2007-03-30,2008-09-26,2007-03-30,2008-09-26,2022,71,8.2,Full Democracy,93,52131.45,NA,NA,NA,NA,26.1,73.9,4.99,11,77,79,70,47,63,79
Austria,ratified both convention and protocol,4,2007-03-30,2008-09-26,2007-03-30,2008-09-26,2021,74,8.07,Full Democracy,93,53637.71,0.92,81.58,16.01,12.26,25.2,74.8,6.46,11,77,79,70,47,63,79
Austria,ratified both convention and protocol,4,2007-03-30,2008-09-26,2007-03-30,2008-09-26,2020,76,8.16,Full Democracy,93,48809.23,NA,NA,NA,NA,23.7,76.3,5.2,11,77,79,70,47,63,79
Austria,ratified both convention and protocol,4,2007-03-30,2008-09-26,2007-03-30,2008-09-26,2019,77,8.29,Full Democracy,93,50070.4,NA,NA,NA,NA,21.4,78.6,4.56,11,77,79,70,47,63,79
Austria,ratified both convention and protocol,4,2007-03-30,2008-09-26,2007-03-30,2008-09-26,2018,76,8.29,Full Democracy,94,51466.56,NA,NA,NA,NA,20.4,79.6,4.93,11,77,79,70,47,63,79
Austria,ratified both convention and protocol,4,2007-03-30,2008-09-26,2007-03-30,2008-09-26,2017,75,8.42,Full Democracy,95,47429.16,NA,NA,NA,NA,19.2,80.8,5.56,11,77,79,70,47,63,79
Azerbaijan,ratified both convention and protocol,4,2008-01-09,2009-01-28,2008-01-09,2009-01-28,2023,NA,NA,NA,9,NA,NA,NA,NA,NA,31.8,68.2,NA,85,28,50,88,59,22,NA
Azerbaijan,ratified both convention and protocol,4,2008-01-09,2009-01-28,2008-01-09,2009-01-28,2022,23,2.87,Authoritarian Regime,9,7736.7,NA,NA,NA,NA,32.3,67.7,5.65,85,28,50,88,59,22,NA
Azerbaijan,ratified both convention and protocol,4,2008-01-09,2009-01-28,2008-01-09,2009-01-28,2021,30,2.68,Authoritarian Regime,10,5408.05,0.74,69.37,13.5,10.54,31.7,68.3,6.04,85,28,50,88,59,22,NA
Azerbaijan,ratified both convention and protocol,4,2008-01-09,2009-01-28,2008-01-09,2009-01-28,2020,30,2.68,Authoritarian Regime,10,4229.91,NA,NA,NA,NA,31.6,68.4,7.24,85,28,50,88,59,22,NA
Azerbaijan,ratified both convention and protocol,4,2008-01-09,2009-01-28,2008-01-09,2009-01-28,2019,30,2.75,Authoritarian Regime,11,4805.75,NA,NA,NA,NA,31.7,68.3,5,85,28,50,88,59,22,NA
Azerbaijan,ratified both convention and protocol,4,2008-01-09,2009-01-28,2008-01-09,2009-01-28,2018,25,2.65,Authoritarian Regime,12,4739.8,NA,NA,NA,NA,30.5,69.5,4.9,85,28,50,88,59,22,NA
Azerbaijan,ratified both convention and protocol,4,2008-01-09,2009-01-28,2008-01-09,2009-01-28,2017,31,2.65,Authoritarian Regime,14,4147.2,NA,NA,NA,NA,27.1,72.9,5,85,28,50,88,59,22,NA
Bahamas,ratified protocol,3,2013-09-24,2015-09-28,NA,NA,2023,NA,NA,NA,91,NA,NA,NA,NA,NA,62.4,37.6,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,ratified protocol,3,2013-09-24,2015-09-28,NA,NA,2022,64,NA,NA,91,31458.3,NA,NA,NA,NA,62.5,37.5,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,ratified protocol,3,2013-09-24,2015-09-28,NA,NA,2021,64,NA,NA,91,28260.43,0.81,71.6,12.9,12.64,62.3,37.7,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,ratified protocol,3,2013-09-24,2015-09-28,NA,NA,2020,63,NA,NA,91,23998.27,NA,NA,NA,NA,62.9,37.1,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,ratified protocol,3,2013-09-24,2015-09-28,NA,NA,2019,64,NA,NA,91,32279.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,ratified protocol,3,2013-09-24,2015-09-28,NA,NA,2018,65,NA,NA,91,31483.98,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
Bahamas,ratified protocol,3,2013-09-24,2015-09-28,NA,NA,2017,65,NA,NA,91,30708.99,NA,NA,NA,NA,63.2,36.8,9.8,NA,NA,NA,NA,NA,NA,NA
Bahrain,ratified protocol,3,2007-06-25,2011-09-22,NA,NA,2023,NA,NA,NA,12,NA,NA,NA,NA,NA,24,76,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,ratified protocol,3,2007-06-25,2011-09-22,NA,NA,2022,44,2.52,Authoritarian Regime,12,30152.03,NA,NA,NA,NA,24.4,75.6,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,ratified protocol,3,2007-06-25,2011-09-22,NA,NA,2021,42,2.52,Authoritarian Regime,12,26860.07,0.88,78.76,16.3,11.05,26.1,73.9,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,ratified protocol,3,2007-06-25,2011-09-22,NA,NA,2020,42,2.49,Authoritarian Regime,11,23433.19,NA,NA,NA,NA,29.3,70.7,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,ratified protocol,3,2007-06-25,2011-09-22,NA,NA,2019,42,2.55,Authoritarian Regime,12,25869.11,NA,NA,NA,NA,32.9,67.1,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,ratified protocol,3,2007-06-25,2011-09-22,NA,NA,2018,36,2.71,Authoritarian Regime,12,25415.85,NA,NA,NA,NA,37,63,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,ratified protocol,3,2007-06-25,2011-09-22,NA,NA,2017,36,2.71,Authoritarian Regime,12,24349.91,NA,NA,NA,NA,35.3,64.7,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,ratified both convention and protocol,4,2007-05-09,2007-11-30,NA,2008-05-12,2023,NA,NA,NA,40,NA,NA,NA,NA,NA,62.6,37.4,NA,80,5,55,60,38,20,NA
Bangladesh,ratified both convention and protocol,4,2007-05-09,2007-11-30,NA,2008-05-12,2022,25,5.99,Hybrid Regime,39,2688.3,NA,NA,NA,NA,63.4,36.6,NA,80,5,55,60,38,20,NA
Bangladesh,ratified both convention and protocol,4,2007-05-09,2007-11-30,NA,2008-05-12,2021,26,5.99,Hybrid Regime,39,2457.92,0.66,72.38,12.44,7.38,64.2,35.8,NA,80,5,55,60,38,20,NA
Bangladesh,ratified both convention and protocol,4,2007-05-09,2007-11-30,NA,2008-05-12,2020,26,5.99,Hybrid Regime,39,2233.31,NA,NA,NA,NA,63.9,36.1,NA,80,5,55,60,38,20,NA
Bangladesh,ratified both convention and protocol,4,2007-05-09,2007-11-30,NA,2008-05-12,2019,26,5.88,Hybrid Regime,41,2122.08,NA,NA,NA,NA,65.8,34.2,NA,80,5,55,60,38,20,NA
Bangladesh,ratified both convention and protocol,4,2007-05-09,2007-11-30,NA,2008-05-12,2018,26,5.57,Hybrid Regime,45,1963.41,NA,NA,NA,NA,68.5,31.5,NA,80,5,55,60,38,20,NA
Bangladesh,ratified both convention and protocol,4,2007-05-09,2007-11-30,NA,2008-05-12,2017,28,5.43,Hybrid Regime,47,1815.61,NA,NA,NA,NA,67.2,32.8,4.37,80,5,55,60,38,20,NA
Barbados,ratified protocol,3,2007-07-19,2013-02-27,NA,NA,2023,NA,NA,NA,94,NA,NA,NA,NA,NA,47.9,52.1,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,ratified protocol,3,2007-07-19,2013-02-27,NA,NA,2022,65,NA,NA,95,20018.52,NA,NA,NA,NA,46.6,53.4,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,ratified protocol,3,2007-07-19,2013-02-27,NA,NA,2021,65,NA,NA,95,17225.46,0.79,77.57,15.71,9.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,ratified protocol,3,2007-07-19,2013-02-27,NA,NA,2020,64,NA,NA,95,16643.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,ratified protocol,3,2007-07-19,2013-02-27,NA,NA,2019,62,NA,NA,96,19002.96,NA,NA,NA,NA,NA,NA,8.41,NA,NA,NA,NA,NA,NA,NA
Barbados,ratified protocol,3,2007-07-19,2013-02-27,NA,NA,2018,68,NA,NA,96,18224.89,NA,NA,NA,NA,NA,NA,8.32,NA,NA,NA,NA,NA,NA,NA
Barbados,ratified protocol,3,2007-07-19,2013-02-27,NA,NA,2017,68,NA,NA,98,17843.2,NA,NA,NA,NA,NA,NA,8.62,NA,NA,NA,NA,NA,NA,NA
Belarus,ratified protocol,3,2015-09-28,2016-11-29,NA,NA,2023,NA,NA,NA,8,NA,NA,NA,NA,NA,56.4,43.6,NA,95,48,20,95,53,15,NA
Belarus,ratified protocol,3,2015-09-28,2016-11-29,NA,NA,2022,39,1.99,Authoritarian Regime,8,7904.86,NA,NA,NA,NA,58.4,41.6,3.57,95,48,20,95,53,15,NA
Belarus,ratified protocol,3,2015-09-28,2016-11-29,NA,NA,2021,41,2.41,Authoritarian Regime,11,7489.72,0.81,72.44,15.17,12.14,60.3,39.7,3.9,95,48,20,95,53,15,NA
Belarus,ratified protocol,3,2015-09-28,2016-11-29,NA,NA,2020,47,2.59,Authoritarian Regime,19,6542.86,NA,NA,NA,NA,25,75,4.05,95,48,20,95,53,15,NA
Belarus,ratified protocol,3,2015-09-28,2016-11-29,NA,NA,2019,45,2.48,Authoritarian Regime,19,6837.77,NA,NA,NA,NA,23.5,76.5,4.16,95,48,20,95,53,15,NA
Belarus,ratified protocol,3,2015-09-28,2016-11-29,NA,NA,2018,44,3.13,Authoritarian Regime,21,6360.05,NA,NA,NA,NA,26.6,73.4,4.76,95,48,20,95,53,15,NA
Belarus,ratified protocol,3,2015-09-28,2016-11-29,NA,NA,2017,44,3.13,Authoritarian Regime,20,5785.53,NA,NA,NA,NA,22.3,77.7,5.65,95,48,20,95,53,15,NA
Belgium,ratified both convention and protocol,4,2007-03-30,2009-07-02,2007-03-30,2009-07-02,2023,NA,NA,NA,96,NA,NA,NA,NA,NA,49.1,50.9,NA,65,81,54,94,61,57,54
Belgium,ratified both convention and protocol,4,2007-03-30,2009-07-02,2007-03-30,2009-07-02,2022,73,7.64,Flawed Democracy,96,49582.83,NA,NA,NA,NA,45.4,54.6,5.56,65,81,54,94,61,57,54
Belgium,ratified both convention and protocol,4,2007-03-30,2009-07-02,2007-03-30,2009-07-02,2021,73,7.51,Flawed Democracy,96,51268.39,0.94,81.88,19.6,12.38,44.2,55.8,6.26,65,81,54,94,61,57,54
Belgium,ratified both convention and protocol,4,2007-03-30,2009-07-02,2007-03-30,2009-07-02,2020,76,7.51,Flawed Democracy,96,45517.9,NA,NA,NA,NA,44,56,5.55,65,81,54,94,61,57,54
Belgium,ratified both convention and protocol,4,2007-03-30,2009-07-02,2007-03-30,2009-07-02,2019,75,7.64,Flawed Democracy,96,46641.71,NA,NA,NA,NA,42.5,57.5,5.36,65,81,54,94,61,57,54
Belgium,ratified both convention and protocol,4,2007-03-30,2009-07-02,2007-03-30,2009-07-02,2018,75,7.78,Flawed Democracy,95,47544.98,NA,NA,NA,NA,42.2,57.8,5.95,65,81,54,94,61,57,54
Belgium,ratified both convention and protocol,4,2007-03-30,2009-07-02,2007-03-30,2009-07-02,2017,75,7.78,Flawed Democracy,95,44198.48,NA,NA,NA,NA,44.5,55.5,7.09,65,81,54,94,61,57,54
Belize,ratified protocol,3,2011-05-09,2011-06-02,NA,NA,2023,NA,NA,NA,87,NA,NA,NA,NA,NA,53.1,46.9,NA,NA,NA,NA,NA,NA,NA,NA
Belize,ratified protocol,3,2011-05-09,2011-06-02,NA,NA,2022,NA,NA,NA,87,6968.36,NA,NA,NA,NA,51.5,48.5,NA,NA,NA,NA,NA,NA,NA,NA
Belize,ratified protocol,3,2011-05-09,2011-06-02,NA,NA,2021,NA,NA,NA,87,6228.27,0.68,70.47,12.99,8.85,51.3,48.7,10.16,NA,NA,NA,NA,NA,NA,NA
Belize,ratified protocol,3,2011-05-09,2011-06-02,NA,NA,2020,NA,NA,NA,86,5266.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,ratified protocol,3,2011-05-09,2011-06-02,NA,NA,2019,NA,NA,NA,86,6210.57,NA,NA,NA,NA,NA,NA,9.05,NA,NA,NA,NA,NA,NA,NA
Belize,ratified protocol,3,2011-05-09,2011-06-02,NA,NA,2018,NA,NA,NA,86,6059.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,ratified protocol,3,2011-05-09,2011-06-02,NA,NA,2017,NA,NA,NA,87,6100.99,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both convention and protocol,4,2008-02-08,2012-07-05,2008-02-08,2012-07-05,2023,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both convention and protocol,4,2008-02-08,2012-07-05,2008-02-08,2012-07-05,2022,43,4.28,Hybrid Regime,59,1303.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both convention and protocol,4,2008-02-08,2012-07-05,2008-02-08,2012-07-05,2021,42,4.19,Hybrid Regime,65,1361.1,0.52,59.82,10.77,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both convention and protocol,4,2008-02-08,2012-07-05,2008-02-08,2012-07-05,2020,41,4.58,Hybrid Regime,66,1237.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both convention and protocol,4,2008-02-08,2012-07-05,2008-02-08,2012-07-05,2019,41,5.09,Hybrid Regime,79,1170.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
