country,crpd_sign,crpd_ratif,protocol_sign,protocol_ratif,year,cpi_score.x,cpi_score.y,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate
Afghanistan,NA,2012-09-18,NA,2012-09-18,2013,8,8,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,27,651.99,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2012,8,8,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,NA,663.14,NA,NA,NA,NA,NA,NA,1.69
Afghanistan,NA,2012-09-18,NA,2012-09-18,2011,NA,NA,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,NA,621.91,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2010,NA,NA,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,NA,554.59,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.85,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,2012-09-18,NA,2012-09-18,2008,NA,NA,NA,NA,NA,NA,NA,NA,3.02,Authoritarian Regime,NA,387.85,NA,NA,NA,NA,NA,NA,2.49
Albania,2009-12-22,2013-02-11,NA,NA,2023,NA,NA,90,27,80,70,56,15,NA,NA,67,NA,NA,NA,NA,NA,45.7,54.3,NA
Albania,2009-12-22,2013-02-11,NA,NA,2022,36,36,NA,NA,NA,NA,NA,NA,6.41,Flawed Democracy,67,6802.8,NA,NA,NA,NA,46.1,53.9,NA
Albania,2009-12-22,2013-02-11,NA,NA,2021,35,35,NA,NA,NA,NA,NA,NA,6.11,Flawed Democracy,66,6377.2,0.8,76.46,14.45,11.29,41.6,58.4,NA
Albania,2009-12-22,2013-02-11,NA,NA,2020,36,36,NA,NA,NA,NA,NA,NA,6.08,Flawed Democracy,67,5343.04,NA,NA,NA,NA,39.5,60.5,NA
Albania,2009-12-22,2013-02-11,NA,NA,2019,35,35,NA,NA,NA,NA,NA,NA,5.89,Hybrid Regime,68,5396.21,NA,NA,NA,NA,40.3,59.7,11.47
Albania,2009-12-22,2013-02-11,NA,NA,2018,36,36,NA,NA,NA,NA,NA,NA,5.98,Hybrid Regime,68,5287.66,NA,NA,NA,NA,39.9,60.1,12.3
Albania,2009-12-22,2013-02-11,NA,NA,2017,38,38,NA,NA,NA,NA,NA,NA,5.98,Hybrid Regime,68,4531.03,NA,NA,NA,NA,44.3,55.7,13.62
Albania,2009-12-22,2013-02-11,NA,NA,2016,39,39,NA,NA,NA,NA,NA,NA,5.91,Hybrid Regime,67,4124.06,NA,NA,NA,NA,48.2,51.8,15.42
Albania,2009-12-22,2013-02-11,NA,NA,2015,36,36,NA,NA,NA,NA,NA,NA,5.91,Hybrid Regime,67,3952.8,NA,NA,NA,NA,49.6,50.4,17.19
Albania,2009-12-22,2013-02-11,NA,NA,2014,33,33,NA,NA,NA,NA,NA,NA,5.67,Hybrid Regime,67,4578.63,NA,NA,NA,NA,51.3,48.7,18.05
Albania,2009-12-22,2013-02-11,NA,NA,2013,31,31,NA,NA,NA,NA,NA,NA,5.67,Hybrid Regime,63,4413.06,NA,NA,NA,NA,47,53,15.87
Albania,2009-12-22,2013-02-11,NA,NA,2012,33,33,NA,NA,NA,NA,NA,NA,5.67,Hybrid Regime,NA,4247.63,NA,NA,NA,NA,30.1,69.9,13.38
Albania,2009-12-22,2013-02-11,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,5.81,Hybrid Regime,NA,4437.14,NA,NA,NA,NA,NA,NA,13.48
Albania,2009-12-22,2013-02-11,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,5.86,Hybrid Regime,NA,4094.35,NA,NA,NA,NA,NA,NA,14.09
Albania,2009-12-22,2013-02-11,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4114.13,NA,NA,NA,NA,NA,NA,13.67
Albania,2009-12-22,2013-02-11,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,5.91,Hybrid Regime,NA,4370.54,NA,NA,NA,NA,NA,NA,13.06
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2023,NA,NA,80,29,35,70,25,32,NA,NA,32,NA,NA,NA,NA,NA,52.6,47.4,NA
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2022,33,33,NA,NA,NA,NA,NA,NA,3.66,Authoritarian Regime,32,4273.92,NA,NA,NA,NA,53.8,46.2,NA
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2021,33,33,NA,NA,NA,NA,NA,NA,3.77,Authoritarian Regime,32,3700.31,0.74,76.38,14.63,8.07,51.9,48.1,NA
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2020,36,36,NA,NA,NA,NA,NA,NA,3.77,Authoritarian Regime,34,3354.16,NA,NA,NA,NA,49.8,50.2,NA
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2019,35,35,NA,NA,NA,NA,NA,NA,4.01,Hybrid Regime,34,4021.98,NA,NA,NA,NA,48.3,51.7,NA
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2018,35,35,NA,NA,NA,NA,NA,NA,3.5,Authoritarian Regime,35,4171.8,NA,NA,NA,NA,50.7,49.3,NA
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2017,33,33,NA,NA,NA,NA,NA,NA,3.56,Authoritarian Regime,35,4134.94,NA,NA,NA,NA,49.6,50.4,12
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2016,34,34,NA,NA,NA,NA,NA,NA,3.56,Authoritarian Regime,35,3967.2,NA,NA,NA,NA,57.6,42.4,10.2
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2015,36,36,NA,NA,NA,NA,NA,NA,3.95,Authoritarian Regime,34,4197.42,NA,NA,NA,NA,51.3,48.7,11.21
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2014,36,36,NA,NA,NA,NA,NA,NA,3.83,Authoritarian Regime,34,5516.23,NA,NA,NA,NA,52.3,47.7,10.21
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2013,36,36,NA,NA,NA,NA,NA,NA,3.83,Authoritarian Regime,35,5519.78,NA,NA,NA,NA,51.8,48.2,9.82
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2012,34,34,NA,NA,NA,NA,NA,NA,3.83,Authoritarian Regime,NA,5610.73,NA,NA,NA,NA,64.8,35.2,10.97
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,3.44,Authoritarian Regime,NA,5473.28,NA,NA,NA,NA,NA,NA,9.96
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,3.44,Authoritarian Regime,NA,4495.92,NA,NA,NA,NA,NA,NA,9.96
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3898.48,NA,NA,NA,NA,NA,NA,10.16
Algeria,2007-03-30,2009-12-04,2007-03-30,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,3.32,Authoritarian Regime,NA,4946.56,NA,NA,NA,NA,NA,NA,11.33
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,41992.79,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,42072.34,0.86,80.37,13.3,10.56,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,37207.22,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,41328.6,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,42904.83,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,40632.23,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,39931.22,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,38885.53,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,45680.53,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,44747.75,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44902.38,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51428.2,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48237.89,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49750.69,NA,NA,NA,NA,NA,NA,NA
Andorra,2007-04-27,2014-03-11,2007-04-27,2014-03-11,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53721.41,NA,NA,NA,NA,NA,NA,NA
Angola,NA,2014-05-19,NA,2014-05-19,2023,NA,NA,83,18,20,60,15,83,NA,NA,28,NA,NA,NA,NA,NA,65.4,34.6,NA
Angola,NA,2014-05-19,NA,2014-05-19,2022,33,33,NA,NA,NA,NA,NA,NA,3.96,Authoritarian Regime,30,2998.5,NA,NA,NA,NA,66.4,33.6,NA
Angola,NA,2014-05-19,NA,2014-05-19,2021,29,29,NA,NA,NA,NA,NA,NA,3.37,Authoritarian Regime,31,1903.72,0.59,61.64,12.17,5.42,66.6,33.4,15.8
Angola,NA,2014-05-19,NA,2014-05-19,2020,27,27,NA,NA,NA,NA,NA,NA,3.66,Authoritarian Regime,32,1502.95,NA,NA,NA,NA,65,35,NA
Angola,NA,2014-05-19,NA,2014-05-19,2019,26,26,NA,NA,NA,NA,NA,NA,3.72,Authoritarian Regime,31,2142.24,NA,NA,NA,NA,NA,NA,16.5
Angola,NA,2014-05-19,NA,2014-05-19,2018,19,19,NA,NA,NA,NA,NA,NA,3.62,Authoritarian Regime,26,2487.5,NA,NA,NA,NA,NA,NA,NA
Angola,NA,2014-05-19,NA,2014-05-19,2017,19,19,NA,NA,NA,NA,NA,NA,3.62,Authoritarian Regime,24,2283.21,NA,NA,NA,NA,65.5,34.5,NA
Angola,NA,2014-05-19,NA,2014-05-19,2016,18,18,NA,NA,NA,NA,NA,NA,3.4,Authoritarian Regime,24,1709.52,NA,NA,NA,NA,NA,NA,NA
Angola,NA,2014-05-19,NA,2014-05-19,2015,15,15,NA,NA,NA,NA,NA,NA,3.35,Authoritarian Regime,28,3100.83,NA,NA,NA,NA,68,32,NA
Angola,NA,2014-05-19,NA,2014-05-19,2014,19,19,NA,NA,NA,NA,NA,NA,3.35,Authoritarian Regime,29,5059.08,NA,NA,NA,NA,63,37,9.58
Angola,NA,2014-05-19,NA,2014-05-19,2013,23,23,NA,NA,NA,NA,NA,NA,3.35,Authoritarian Regime,30,5101.98,NA,NA,NA,NA,52.3,47.7,NA
Angola,NA,2014-05-19,NA,2014-05-19,2012,22,22,NA,NA,NA,NA,NA,NA,3.35,Authoritarian Regime,NA,4962.55,NA,NA,NA,NA,NA,NA,NA
Angola,NA,2014-05-19,NA,2014-05-19,2011,NA,NA,NA,NA,NA,NA,NA,NA,3.32,Authoritarian Regime,NA,4511.15,NA,NA,NA,NA,NA,NA,16.77
Angola,NA,2014-05-19,NA,2014-05-19,2010,NA,NA,NA,NA,NA,NA,NA,NA,3.32,Authoritarian Regime,NA,3496.78,NA,NA,NA,NA,NA,NA,9.43
Angola,NA,2014-05-19,NA,2014-05-19,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3123.7,NA,NA,NA,NA,NA,NA,3.78
Angola,NA,2014-05-19,NA,2014-05-19,2008,NA,NA,NA,NA,NA,NA,NA,NA,3.35,Authoritarian Regime,NA,4081.72,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,18745.17,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,16740.35,0.79,78.5,14.18,9.29,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,15284.77,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,18187.78,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,17514.36,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,16110.31,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,15862.65,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,14861.88,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,14004.81,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,13350.15,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13686.48,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13117.15,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13404.52,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14530.6,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007-03-30,2016-01-07,2007-03-30,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16457.1,NA,NA,NA,NA,NA,NA,NA
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2023,NA,NA,49,51,56,86,29,62,NA,NA,85,NA,NA,NA,NA,NA,64.3,35.7,NA
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2022,38,38,NA,NA,NA,NA,NA,NA,6.85,Flawed Democracy,84,13686.01,NA,NA,NA,NA,64.1,35.9,NA
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2021,38,38,NA,NA,NA,NA,NA,NA,6.81,Flawed Democracy,84,10636.12,0.84,75.39,17.87,11.15,63.3,36.7,8.74
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2020,42,42,NA,NA,NA,NA,NA,NA,6.95,Flawed Democracy,85,8496.43,NA,NA,NA,NA,61.8,38.2,11.46
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2019,45,45,NA,NA,NA,NA,NA,NA,7.02,Flawed Democracy,84,9963.67,NA,NA,NA,NA,62.6,37.4,9.84
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2018,40,40,NA,NA,NA,NA,NA,NA,7.02,Flawed Democracy,83,11795.16,NA,NA,NA,NA,61.8,38.2,9.22
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2017,39,39,NA,NA,NA,NA,NA,NA,6.96,Flawed Democracy,82,14613.04,NA,NA,NA,NA,62.6,37.4,8.35
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2016,36,36,NA,NA,NA,NA,NA,NA,6.96,Flawed Democracy,79,12790.26,NA,NA,NA,NA,63.3,36.7,NA
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2015,32,32,NA,NA,NA,NA,NA,NA,7.02,Flawed Democracy,80,13789.06,NA,NA,NA,NA,62.4,37.6,NA
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2014,34,34,NA,NA,NA,NA,NA,NA,6.84,Flawed Democracy,80,12334.8,NA,NA,NA,NA,57.5,42.5,7.27
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2013,34,34,NA,NA,NA,NA,NA,NA,6.84,Flawed Democracy,80,13080.25,NA,NA,NA,NA,59.3,40.7,7.1
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2012,35,35,NA,NA,NA,NA,NA,NA,6.84,Flawed Democracy,NA,13082.66,NA,NA,NA,NA,48.4,51.6,7.22
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2011,NA,NA,NA,NA,NA,NA,NA,NA,6.84,Flawed Democracy,NA,12848.74,NA,NA,NA,NA,NA,NA,7.18
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2010,NA,NA,NA,NA,NA,NA,NA,NA,6.84,Flawed Democracy,NA,10385.96,NA,NA,NA,NA,NA,NA,7.71
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8184.39,NA,NA,NA,NA,NA,NA,8.65
Argentina,2007-03-30,2008-09-02,2007-03-30,2008-09-02,2008,NA,NA,NA,NA,NA,NA,NA,NA,6.63,Flawed Democracy,NA,8977.51,NA,NA,NA,NA,NA,NA,7.84
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2023,NA,NA,85,17,50,88,38,25,NA,NA,54,NA,NA,NA,NA,NA,22,78,NA
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2022,46,46,NA,NA,NA,NA,NA,NA,5.63,Hybrid Regime,55,7014.21,NA,NA,NA,NA,22.1,77.9,NA
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2021,49,49,NA,NA,NA,NA,NA,NA,5.49,Hybrid Regime,55,4966.51,0.76,72.04,13.12,11.33,23.3,76.7,10.01
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2020,49,49,NA,NA,NA,NA,NA,NA,5.35,Hybrid Regime,53,4505.87,NA,NA,NA,NA,21.6,78.4,12.18
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2019,42,42,NA,NA,NA,NA,NA,NA,5.54,Hybrid Regime,51,4828.5,NA,NA,NA,NA,22,78,12.2
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2018,35,35,NA,NA,NA,NA,NA,NA,4.79,Hybrid Regime,45,4391.92,NA,NA,NA,NA,28.3,71.7,13.21
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2017,35,35,NA,NA,NA,NA,NA,NA,4.11,Hybrid Regime,45,4042,NA,NA,NA,NA,27.1,72.9,17.7
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2016,33,33,NA,NA,NA,NA,NA,NA,3.88,Authoritarian Regime,46,3679.95,NA,NA,NA,NA,31.1,68.9,17.62
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2015,35,35,NA,NA,NA,NA,NA,NA,4,Authoritarian Regime,46,3666.14,NA,NA,NA,NA,29.1,70.9,18.26
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2014,37,37,NA,NA,NA,NA,NA,NA,4.13,Hybrid Regime,43,4017.23,NA,NA,NA,NA,35,65,17.5
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2013,36,36,NA,NA,NA,NA,NA,NA,4.02,Hybrid Regime,42,3833.16,NA,NA,NA,NA,41.1,58.9,16.18
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2012,34,34,NA,NA,NA,NA,NA,NA,4.09,Hybrid Regime,NA,3643.72,NA,NA,NA,NA,NA,NA,17.3
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2011,NA,NA,NA,NA,NA,NA,NA,NA,4.09,Hybrid Regime,NA,3462.68,NA,NA,NA,NA,NA,NA,18.44
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2010,NA,NA,NA,NA,NA,NA,NA,NA,4.09,Hybrid Regime,NA,3143.03,NA,NA,NA,NA,NA,NA,19.01
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2917.37,NA,NA,NA,NA,NA,NA,18.44
Armenia,2007-03-30,2010-09-22,2007-03-30,2022-12-26,2008,NA,NA,NA,NA,NA,NA,NA,NA,4.09,Hybrid Regime,NA,3908.95,NA,NA,NA,NA,NA,NA,22.97
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2023,NA,NA,38,73,61,51,56,71,NA,NA,95,NA,NA,NA,NA,NA,45.5,54.5,NA
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2022,75,75,NA,NA,NA,NA,NA,NA,8.71,Full Democracy,95,64491.43,NA,NA,NA,NA,43.8,56.2,3.7
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2021,73,73,NA,NA,NA,NA,NA,NA,8.9,Full Democracy,97,60444.5,0.95,84.53,21.05,12.73,42.4,57.6,5.12
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2020,77,77,NA,NA,NA,NA,NA,NA,8.96,Full Democracy,97,51722.07,NA,NA,NA,NA,41.4,58.6,6.46
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2019,77,77,NA,NA,NA,NA,NA,NA,9.09,Full Democracy,98,54941.07,NA,NA,NA,NA,42.8,57.2,5.16
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2018,77,77,NA,NA,NA,NA,NA,NA,9.09,Full Democracy,98,57206.99,NA,NA,NA,NA,42.5,57.5,5.3
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2017,77,77,NA,NA,NA,NA,NA,NA,9.09,Full Democracy,98,53934.15,NA,NA,NA,NA,42.4,57.6,5.59
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2016,79,79,NA,NA,NA,NA,NA,NA,9.01,Full Democracy,98,49876.71,NA,NA,NA,NA,43.1,56.9,5.71
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2015,79,79,NA,NA,NA,NA,NA,NA,9.01,Full Democracy,97,56708.96,NA,NA,NA,NA,42.2,57.8,6.06
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2014,80,80,NA,NA,NA,NA,NA,NA,9.01,Full Democracy,97,62515.31,NA,NA,NA,NA,41.2,58.8,6.08
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2013,81,81,NA,NA,NA,NA,NA,NA,9.13,Full Democracy,97,68156.39,NA,NA,NA,NA,44.4,55.6,5.66
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2012,85,85,NA,NA,NA,NA,NA,NA,9.22,Full Democracy,NA,68047.38,NA,NA,NA,NA,40.6,59.4,5.23
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2011,NA,NA,NA,NA,NA,NA,NA,NA,9.22,Full Democracy,NA,62598.69,NA,NA,NA,NA,NA,NA,5.08
Australia,2007-03-30,2008-07-17,NA,2009-08-21,2010,NA,NA,NA,NA,NA,NA,NA,NA,9.22,Full Democracy,NA,52132.47,NA,NA,NA,NA,NA,NA,5.21
