country,crpd_category,crpd_category_v,year,cpi_score.x,cpi_score.y,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,masculinity_index,crime_index,safety_index,unemployment_rate
Armenia,ratified both crpd and protocol,4,2017,35,35,NA,NA,NA,NA,NA,NA,4.11,Hybrid Regime,45,4042,NA,NA,NA,NA,NA,27.1,72.9,17.7
Australia,ratified both crpd and protocol,4,2023,NA,NA,38,73,61,51,56,71,NA,NA,95,NA,NA,NA,NA,NA,61,45.5,54.5,NA
Australia,ratified both crpd and protocol,4,2022,75,75,NA,NA,NA,NA,NA,NA,8.71,Full Democracy,95,64491.43,NA,NA,NA,NA,NA,43.8,56.2,3.7
Australia,ratified both crpd and protocol,4,2021,73,73,NA,NA,NA,NA,NA,NA,8.9,Full Democracy,97,60444.5,0.95,84.53,21.05,12.73,NA,42.4,57.6,5.12
Australia,ratified both crpd and protocol,4,2020,77,77,NA,NA,NA,NA,NA,NA,8.96,Full Democracy,97,51722.07,NA,NA,NA,NA,NA,41.4,58.6,6.46
Australia,ratified both crpd and protocol,4,2019,77,77,NA,NA,NA,NA,NA,NA,9.09,Full Democracy,98,54941.07,NA,NA,NA,NA,NA,42.8,57.2,5.16
Australia,ratified both crpd and protocol,4,2018,77,77,NA,NA,NA,NA,NA,NA,9.09,Full Democracy,98,57206.99,NA,NA,NA,NA,NA,42.5,57.5,5.3
Australia,ratified both crpd and protocol,4,2017,77,77,NA,NA,NA,NA,NA,NA,9.09,Full Democracy,98,53934.15,NA,NA,NA,NA,NA,42.4,57.6,5.59
Austria,ratified both crpd and protocol,4,2023,NA,NA,11,77,79,70,47,63,NA,NA,93,NA,NA,NA,NA,NA,79,27.3,72.7,NA
Austria,ratified both crpd and protocol,4,2022,71,71,NA,NA,NA,NA,NA,NA,8.2,Full Democracy,93,52131.45,NA,NA,NA,NA,NA,26.1,73.9,4.99
Austria,ratified both crpd and protocol,4,2021,74,74,NA,NA,NA,NA,NA,NA,8.07,Full Democracy,93,53637.71,0.92,81.58,16.01,12.26,NA,25.2,74.8,6.46
Austria,ratified both crpd and protocol,4,2020,76,76,NA,NA,NA,NA,NA,NA,8.16,Full Democracy,93,48809.23,NA,NA,NA,NA,NA,23.7,76.3,5.2
Austria,ratified both crpd and protocol,4,2019,77,77,NA,NA,NA,NA,NA,NA,8.29,Full Democracy,93,50070.4,NA,NA,NA,NA,NA,21.4,78.6,4.56
Austria,ratified both crpd and protocol,4,2018,76,76,NA,NA,NA,NA,NA,NA,8.29,Full Democracy,94,51466.56,NA,NA,NA,NA,NA,20.4,79.6,4.93
Austria,ratified both crpd and protocol,4,2017,75,75,NA,NA,NA,NA,NA,NA,8.42,Full Democracy,95,47429.16,NA,NA,NA,NA,NA,19.2,80.8,5.56
Azerbaijan,ratified both crpd and protocol,4,2023,NA,NA,85,28,50,88,59,22,NA,NA,9,NA,NA,NA,NA,NA,NA,31.8,68.2,NA
Azerbaijan,ratified both crpd and protocol,4,2022,23,23,NA,NA,NA,NA,NA,NA,2.87,Authoritarian Regime,9,7736.7,NA,NA,NA,NA,NA,32.3,67.7,5.65
Azerbaijan,ratified both crpd and protocol,4,2021,30,30,NA,NA,NA,NA,NA,NA,2.68,Authoritarian Regime,10,5408.05,0.74,69.37,13.5,10.54,NA,31.7,68.3,6.04
Azerbaijan,ratified both crpd and protocol,4,2020,30,30,NA,NA,NA,NA,NA,NA,2.68,Authoritarian Regime,10,4229.91,NA,NA,NA,NA,NA,31.6,68.4,7.24
Azerbaijan,ratified both crpd and protocol,4,2019,30,30,NA,NA,NA,NA,NA,NA,2.75,Authoritarian Regime,11,4805.75,NA,NA,NA,NA,NA,31.7,68.3,5
Azerbaijan,ratified both crpd and protocol,4,2018,25,25,NA,NA,NA,NA,NA,NA,2.65,Authoritarian Regime,12,4739.8,NA,NA,NA,NA,NA,30.5,69.5,4.9
Azerbaijan,ratified both crpd and protocol,4,2017,31,31,NA,NA,NA,NA,NA,NA,2.65,Authoritarian Regime,14,4147.2,NA,NA,NA,NA,NA,27.1,72.9,5
Bahamas,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,62.4,37.6,NA
Bahamas,ratified protocol,3,2022,64,64,NA,NA,NA,NA,NA,NA,NA,NA,91,31458.3,NA,NA,NA,NA,NA,62.5,37.5,NA
Bahamas,ratified protocol,3,2021,64,64,NA,NA,NA,NA,NA,NA,NA,NA,91,28260.43,0.81,71.6,12.9,12.64,NA,62.3,37.7,NA
Bahamas,ratified protocol,3,2020,63,63,NA,NA,NA,NA,NA,NA,NA,NA,91,23998.27,NA,NA,NA,NA,NA,62.9,37.1,NA
Bahamas,ratified protocol,3,2019,64,64,NA,NA,NA,NA,NA,NA,NA,NA,91,32279.01,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,ratified protocol,3,2018,65,65,NA,NA,NA,NA,NA,NA,NA,NA,91,31483.98,NA,NA,NA,NA,NA,NA,NA,10
Bahamas,ratified protocol,3,2017,65,65,NA,NA,NA,NA,NA,NA,NA,NA,91,30708.99,NA,NA,NA,NA,NA,63.2,36.8,9.8
Bahrain,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,24,76,NA
Bahrain,ratified protocol,3,2022,44,44,NA,NA,NA,NA,NA,NA,2.52,Authoritarian Regime,12,30152.03,NA,NA,NA,NA,NA,24.4,75.6,NA
Bahrain,ratified protocol,3,2021,42,42,NA,NA,NA,NA,NA,NA,2.52,Authoritarian Regime,12,26860.07,0.88,78.76,16.3,11.05,NA,26.1,73.9,NA
Bahrain,ratified protocol,3,2020,42,42,NA,NA,NA,NA,NA,NA,2.49,Authoritarian Regime,11,23433.19,NA,NA,NA,NA,NA,29.3,70.7,NA
Bahrain,ratified protocol,3,2019,42,42,NA,NA,NA,NA,NA,NA,2.55,Authoritarian Regime,12,25869.11,NA,NA,NA,NA,NA,32.9,67.1,NA
Bahrain,ratified protocol,3,2018,36,36,NA,NA,NA,NA,NA,NA,2.71,Authoritarian Regime,12,25415.85,NA,NA,NA,NA,NA,37,63,NA
Bahrain,ratified protocol,3,2017,36,36,NA,NA,NA,NA,NA,NA,2.71,Authoritarian Regime,12,24349.91,NA,NA,NA,NA,NA,35.3,64.7,NA
Bangladesh,ratified both crpd and protocol,4,2023,NA,NA,80,5,55,60,38,20,NA,NA,40,NA,NA,NA,NA,NA,NA,62.6,37.4,NA
Bangladesh,ratified both crpd and protocol,4,2022,25,25,NA,NA,NA,NA,NA,NA,5.99,Hybrid Regime,39,2688.3,NA,NA,NA,NA,NA,63.4,36.6,NA
Bangladesh,ratified both crpd and protocol,4,2021,26,26,NA,NA,NA,NA,NA,NA,5.99,Hybrid Regime,39,2457.92,0.66,72.38,12.44,7.38,NA,64.2,35.8,NA
Bangladesh,ratified both crpd and protocol,4,2020,26,26,NA,NA,NA,NA,NA,NA,5.99,Hybrid Regime,39,2233.31,NA,NA,NA,NA,NA,63.9,36.1,NA
Bangladesh,ratified both crpd and protocol,4,2019,26,26,NA,NA,NA,NA,NA,NA,5.88,Hybrid Regime,41,2122.08,NA,NA,NA,NA,NA,65.8,34.2,NA
Bangladesh,ratified both crpd and protocol,4,2018,26,26,NA,NA,NA,NA,NA,NA,5.57,Hybrid Regime,45,1963.41,NA,NA,NA,NA,NA,68.5,31.5,NA
Bangladesh,ratified both crpd and protocol,4,2017,28,28,NA,NA,NA,NA,NA,NA,5.43,Hybrid Regime,47,1815.61,NA,NA,NA,NA,NA,67.2,32.8,4.37
Barbados,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,47.9,52.1,NA
Barbados,ratified protocol,3,2022,65,65,NA,NA,NA,NA,NA,NA,NA,NA,95,20018.52,NA,NA,NA,NA,NA,46.6,53.4,NA
Barbados,ratified protocol,3,2021,65,65,NA,NA,NA,NA,NA,NA,NA,NA,95,17225.46,0.79,77.57,15.71,9.85,NA,NA,NA,NA
Barbados,ratified protocol,3,2020,64,64,NA,NA,NA,NA,NA,NA,NA,NA,95,16643.81,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,ratified protocol,3,2019,62,62,NA,NA,NA,NA,NA,NA,NA,NA,96,19002.96,NA,NA,NA,NA,NA,NA,NA,8.41
Barbados,ratified protocol,3,2018,68,68,NA,NA,NA,NA,NA,NA,NA,NA,96,18224.89,NA,NA,NA,NA,NA,NA,NA,8.32
Barbados,ratified protocol,3,2017,68,68,NA,NA,NA,NA,NA,NA,NA,NA,98,17843.2,NA,NA,NA,NA,NA,NA,NA,8.62
Belarus,ratified protocol,3,2023,NA,NA,95,48,20,95,53,15,NA,NA,8,NA,NA,NA,NA,NA,NA,56.4,43.6,NA
Belarus,ratified protocol,3,2022,39,39,NA,NA,NA,NA,NA,NA,1.99,Authoritarian Regime,8,7904.86,NA,NA,NA,NA,NA,58.4,41.6,3.57
Belarus,ratified protocol,3,2021,41,41,NA,NA,NA,NA,NA,NA,2.41,Authoritarian Regime,11,7489.72,0.81,72.44,15.17,12.14,NA,60.3,39.7,3.9
Belarus,ratified protocol,3,2020,47,47,NA,NA,NA,NA,NA,NA,2.59,Authoritarian Regime,19,6542.86,NA,NA,NA,NA,NA,25,75,4.05
Belarus,ratified protocol,3,2019,45,45,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,19,6837.77,NA,NA,NA,NA,NA,23.5,76.5,4.16
Belarus,ratified protocol,3,2018,44,44,NA,NA,NA,NA,NA,NA,3.13,Authoritarian Regime,21,6360.05,NA,NA,NA,NA,NA,26.6,73.4,4.76
Belarus,ratified protocol,3,2017,44,44,NA,NA,NA,NA,NA,NA,3.13,Authoritarian Regime,20,5785.53,NA,NA,NA,NA,NA,22.3,77.7,5.65
Belgium,ratified both crpd and protocol,4,2023,NA,NA,65,81,54,94,61,57,NA,NA,96,NA,NA,NA,NA,NA,54,49.1,50.9,NA
Belgium,ratified both crpd and protocol,4,2022,73,73,NA,NA,NA,NA,NA,NA,7.64,Flawed Democracy,96,49582.83,NA,NA,NA,NA,NA,45.4,54.6,5.56
Belgium,ratified both crpd and protocol,4,2021,73,73,NA,NA,NA,NA,NA,NA,7.51,Flawed Democracy,96,51268.39,0.94,81.88,19.6,12.38,NA,44.2,55.8,6.26
Belgium,ratified both crpd and protocol,4,2020,76,76,NA,NA,NA,NA,NA,NA,7.51,Flawed Democracy,96,45517.9,NA,NA,NA,NA,NA,44,56,5.55
Belgium,ratified both crpd and protocol,4,2019,75,75,NA,NA,NA,NA,NA,NA,7.64,Flawed Democracy,96,46641.71,NA,NA,NA,NA,NA,42.5,57.5,5.36
Belgium,ratified both crpd and protocol,4,2018,75,75,NA,NA,NA,NA,NA,NA,7.78,Flawed Democracy,95,47544.98,NA,NA,NA,NA,NA,42.2,57.8,5.95
Belgium,ratified both crpd and protocol,4,2017,75,75,NA,NA,NA,NA,NA,NA,7.78,Flawed Democracy,95,44198.48,NA,NA,NA,NA,NA,44.5,55.5,7.09
Belize,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,53.1,46.9,NA
Belize,ratified protocol,3,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,6968.36,NA,NA,NA,NA,NA,51.5,48.5,NA
Belize,ratified protocol,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,6228.27,0.68,70.47,12.99,8.85,NA,51.3,48.7,10.16
Belize,ratified protocol,3,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,5266.88,NA,NA,NA,NA,NA,NA,NA,NA
Belize,ratified protocol,3,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,6210.57,NA,NA,NA,NA,NA,NA,NA,9.05
Belize,ratified protocol,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,6059.16,NA,NA,NA,NA,NA,NA,NA,NA
Belize,ratified protocol,3,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,6100.99,NA,NA,NA,NA,NA,NA,NA,6.6
Benin,ratified both crpd and protocol,4,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both crpd and protocol,4,2022,43,43,NA,NA,NA,NA,NA,NA,4.28,Hybrid Regime,59,1303.22,NA,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both crpd and protocol,4,2021,42,42,NA,NA,NA,NA,NA,NA,4.19,Hybrid Regime,65,1361.1,0.52,59.82,10.77,4.3,NA,NA,NA,NA
Benin,ratified both crpd and protocol,4,2020,41,41,NA,NA,NA,NA,NA,NA,4.58,Hybrid Regime,66,1237.95,NA,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both crpd and protocol,4,2019,41,41,NA,NA,NA,NA,NA,NA,5.09,Hybrid Regime,79,1170.97,NA,NA,NA,NA,NA,NA,NA,NA
Benin,ratified both crpd and protocol,4,2018,40,40,NA,NA,NA,NA,NA,NA,5.74,Hybrid Regime,82,1194.44,NA,NA,NA,NA,NA,NA,NA,1.47
Benin,ratified both crpd and protocol,4,2017,39,39,NA,NA,NA,NA,NA,NA,5.61,Hybrid Regime,82,1095.27,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,only signed crpd,1,2023,NA,NA,94,52,32,28,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,only signed crpd,1,2022,68,68,NA,NA,NA,NA,NA,NA,5.54,Hybrid Regime,61,NA,NA,NA,NA,NA,NA,NA,NA,5.95
Bhutan,only signed crpd,1,2021,68,68,NA,NA,NA,NA,NA,NA,5.71,Hybrid Regime,61,3266.36,0.67,71.82,13.23,5.17,NA,NA,NA,4.8
Bhutan,only signed crpd,1,2020,68,68,NA,NA,NA,NA,NA,NA,5.71,Hybrid Regime,59,3009.93,NA,NA,NA,NA,NA,NA,NA,5.03
Bhutan,only signed crpd,1,2019,68,68,NA,NA,NA,NA,NA,NA,5.3,Hybrid Regime,59,3303.96,NA,NA,NA,NA,NA,NA,NA,2.72
Bhutan,only signed crpd,1,2018,68,68,NA,NA,NA,NA,NA,NA,5.3,Hybrid Regime,55,3210.71,NA,NA,NA,NA,NA,NA,NA,3.35
Bhutan,only signed crpd,1,2017,67,67,NA,NA,NA,NA,NA,NA,5.08,Hybrid Regime,55,3240.71,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,ratified protocol,3,2023,NA,NA,78,23,42,87,21,46,NA,NA,66,NA,NA,NA,NA,NA,NA,60.8,39.2,NA
Bolivia,ratified protocol,3,2022,31,31,NA,NA,NA,NA,NA,NA,4.51,Hybrid Regime,66,3523.27,NA,NA,NA,NA,NA,58.3,41.7,3.55
Bolivia,ratified protocol,3,2021,30,30,NA,NA,NA,NA,NA,NA,4.65,Hybrid Regime,66,3345.2,0.69,63.63,14.95,9.83,NA,55.4,44.6,5.09
Bolivia,ratified protocol,3,2020,31,31,NA,NA,NA,NA,NA,NA,5.08,Hybrid Regime,63,3068.81,NA,NA,NA,NA,NA,52.9,47.1,7.9
Bolivia,ratified protocol,3,2019,31,31,NA,NA,NA,NA,NA,NA,4.84,Hybrid Regime,67,3472.38,NA,NA,NA,NA,NA,53.3,46.7,3.68
Bolivia,ratified protocol,3,2018,29,29,NA,NA,NA,NA,NA,NA,5.7,Hybrid Regime,67,3471.01,NA,NA,NA,NA,NA,52.9,47.1,3.52
Bolivia,ratified protocol,3,2017,33,33,NA,NA,NA,NA,NA,NA,5.49,Hybrid Regime,68,3280.01,NA,NA,NA,NA,NA,59.5,40.5,3.65
Bosnia and Herzegovina,ratified both crpd and protocol,4,2023,NA,NA,90,40,48,87,36,44,NA,NA,52,NA,NA,NA,NA,NA,NA,42.9,57.1,NA
Bosnia and Herzegovina,ratified both crpd and protocol,4,2022,34,34,NA,NA,NA,NA,NA,NA,5,Hybrid Regime,53,7585.38,NA,NA,NA,NA,NA,42.2,57.8,12.66
Bosnia and Herzegovina,ratified both crpd and protocol,4,2021,35,35,NA,NA,NA,NA,NA,NA,5.04,Hybrid Regime,53,7230.2,0.78,75.3,13.8,10.54,NA,43,57,14.9
Bosnia and Herzegovina,ratified both crpd and protocol,4,2020,35,35,NA,NA,NA,NA,NA,NA,4.84,Hybrid Regime,53,6095.1,NA,NA,NA,NA,NA,43,57,15.87
Bosnia and Herzegovina,ratified both crpd and protocol,4,2019,36,36,NA,NA,NA,NA,NA,NA,4.86,Hybrid Regime,53,6094.72,NA,NA,NA,NA,NA,43.8,56.2,15.69
Bosnia and Herzegovina,ratified both crpd and protocol,4,2018,38,38,NA,NA,NA,NA,NA,NA,4.98,Hybrid Regime,55,6024.49,NA,NA,NA,NA,NA,40.1,59.9,18.4
Bosnia and Herzegovina,ratified both crpd and protocol,4,2017,38,38,NA,NA,NA,NA,NA,NA,4.87,Hybrid Regime,55,5327.39,NA,NA,NA,NA,NA,41,59,20.53
Botswana,ratified protocol,3,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,53.7,46.3,NA
Botswana,ratified protocol,3,2022,60,60,NA,NA,NA,NA,NA,NA,7.73,Flawed Democracy,72,7737.65,NA,NA,NA,NA,NA,52.4,47.6,23.62
Botswana,ratified protocol,3,2021,55,55,NA,NA,NA,NA,NA,NA,7.73,Flawed Democracy,72,7238.8,0.69,61.14,12.27,10.34,NA,52.8,47.2,23.11
Botswana,ratified protocol,3,2020,60,60,NA,NA,NA,NA,NA,NA,7.62,Flawed Democracy,72,5875.07,NA,NA,NA,NA,NA,53.5,46.5,21.02
Botswana,ratified protocol,3,2019,61,61,NA,NA,NA,NA,NA,NA,7.81,Flawed Democracy,72,6691.16,NA,NA,NA,NA,NA,NA,NA,20.09
