country,year,cpi_score.x,power_distance.x,individualism.x,motivation.x,uncertainty_avoidance.x,long_term_orientation.x,indulgence.x,democracy_index.x,democracy_cat.x,freedom_index,cpi_score.y,democracy_index.y,democracy_cat.y,gdp.x,crime_index.x,safety_index.x,power_distance.y,individualism.y,motivation.y,uncertainty_avoidance.y,long_term_orientation.y,indulgence.y,human_development_index.x,life_expectancy.x,expected_years_of_schooling.x,mean_years_of_schooling.x,unemployment_rate.x,crpd_signature_date,crpd_ratification_date,optional_protocol_date,crpd_category,crpd_category_value,gdp.y,human_development_index.y,life_expectancy.y,expected_years_of_schooling.y,mean_years_of_schooling.y,crime_index.y,safety_index.y,unemployment_rate.y
Afghanistan,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,78.6,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,NA,NA,NA,NA,NA,78.6,21.4,NA
Afghanistan,2022,24,NA,NA,NA,NA,NA,NA,0.32,Authoritarian Regime,10,24,0.32,Authoritarian Regime,NA,77,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,NA,NA,NA,NA,NA,77,23,NA
Afghanistan,2021,16,NA,NA,NA,NA,NA,NA,0.32,Authoritarian Regime,27,16,0.32,Authoritarian Regime,363.67,76.4,23.6,NA,NA,NA,NA,NA,NA,0.48,61.98,10.26,2.99,5.58,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,363.67,0.48,61.98,10.26,2.99,76.4,23.6,5.58
Afghanistan,2020,19,NA,NA,NA,NA,NA,NA,2.85,Authoritarian Regime,27,19,2.85,Authoritarian Regime,516.87,76.2,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.71,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,516.87,NA,NA,NA,NA,76.2,23.8,11.71
Afghanistan,2019,16,NA,NA,NA,NA,NA,NA,2.85,Authoritarian Regime,27,16,2.85,Authoritarian Regime,500.52,76.6,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,500.52,NA,NA,NA,NA,76.6,23.4,NA
Afghanistan,2018,16,NA,NA,NA,NA,NA,NA,2.97,Authoritarian Regime,26,16,2.97,Authoritarian Regime,502.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,502.06,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2017,15,NA,NA,NA,NA,NA,NA,2.55,Authoritarian Regime,24,15,2.55,Authoritarian Regime,530.15,73.9,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.18,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,530.15,NA,NA,NA,NA,73.9,26.1,11.18
Afghanistan,2016,15,NA,NA,NA,NA,NA,NA,2.55,Authoritarian Regime,24,15,2.55,Authoritarian Regime,520.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,520.25,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2015,11,NA,NA,NA,NA,NA,NA,2.77,Authoritarian Regime,24,11,2.77,Authoritarian Regime,592.48,77.3,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,592.48,NA,NA,NA,NA,77.3,22.7,NA
Afghanistan,2014,12,NA,NA,NA,NA,NA,NA,2.77,Authoritarian Regime,26,12,2.77,Authoritarian Regime,628.15,82.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,628.15,NA,NA,NA,NA,82.5,17.5,7.91
Afghanistan,2013,8,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,27,8,2.48,Authoritarian Regime,651.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,651.99,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2012,8,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,NA,8,2.48,Authoritarian Regime,663.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,663.14,NA,NA,NA,NA,NA,NA,1.69
Afghanistan,2011,NA,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,NA,NA,2.48,Authoritarian Regime,621.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,621.91,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2010,NA,NA,NA,NA,NA,NA,NA,2.48,Authoritarian Regime,NA,NA,2.48,Authoritarian Regime,554.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,554.59,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,443.85,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2008,NA,NA,NA,NA,NA,NA,NA,3.02,Authoritarian Regime,NA,NA,3.02,Authoritarian Regime,387.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,NA,18 Sep 2012 ,18 Sep 2012,ratified & protocol,5,387.85,NA,NA,NA,NA,NA,NA,2.49
Africa Eastern and Southern,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1622.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1622.39,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1539.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1539.17,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353.93,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1499.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1499.95,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550.11,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613.67,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1436.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1436.09,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.56,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1724.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1724.53,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1736.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1736.22,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765.25,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1799.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1799.62,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649.64,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1417.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1417.13,NA,NA,NA,NA,NA,NA,NA
Africa Eastern and Southern,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433.26,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1790.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1790.35,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765.97,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1687,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1810.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1810.54,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1732.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1732.82,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1588.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97144133131005,NA,NA,NA,NA,NA,1588.58,NA,NA,NA,NA,NA,NA,6.97144133131005
Africa Western and Central,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1646.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1646.97,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880.75,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2247.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34589798478544,NA,NA,NA,NA,NA,2247.86,NA,NA,NA,NA,NA,NA,4.34589798478544
Africa Western and Central,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2153.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2153.77,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957.52,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860.94,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679.65,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1467.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1467.24,NA,NA,NA,NA,NA,NA,NA
Africa Western and Central,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685.37,NA,NA,NA,NA,NA,NA,NA
Albania,2023,NA,90,27,80,70,56,15,NA,NA,67,NA,NA,NA,NA,45.7,54.3,90,27,80,70,56,15,NA,NA,NA,NA,NA,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,NA,NA,NA,NA,NA,45.7,54.3,NA
Albania,2022,36,NA,NA,NA,NA,NA,NA,6.41,Flawed Democracy,67,36,6.41,Flawed Democracy,6802.8,46.1,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,6802.8,NA,NA,NA,NA,46.1,53.9,NA
Albania,2021,35,NA,NA,NA,NA,NA,NA,6.11,Flawed Democracy,66,35,6.11,Flawed Democracy,6377.2,41.6,58.4,NA,NA,NA,NA,NA,NA,0.8,76.46,14.45,11.29,NA,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,6377.2,0.8,76.46,14.45,11.29,41.6,58.4,NA
Albania,2020,36,NA,NA,NA,NA,NA,NA,6.08,Flawed Democracy,67,36,6.08,Flawed Democracy,5343.04,39.5,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,5343.04,NA,NA,NA,NA,39.5,60.5,NA
Albania,2019,35,NA,NA,NA,NA,NA,NA,5.89,Hybrid Regime,68,35,5.89,Hybrid Regime,5396.21,40.3,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.47,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,5396.21,NA,NA,NA,NA,40.3,59.7,11.47
Albania,2018,36,NA,NA,NA,NA,NA,NA,5.98,Hybrid Regime,68,36,5.98,Hybrid Regime,5287.66,39.9,60.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,5287.66,NA,NA,NA,NA,39.9,60.1,12.3
Albania,2017,38,NA,NA,NA,NA,NA,NA,5.98,Hybrid Regime,68,38,5.98,Hybrid Regime,4531.03,44.3,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.62,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4531.03,NA,NA,NA,NA,44.3,55.7,13.62
Albania,2016,39,NA,NA,NA,NA,NA,NA,5.91,Hybrid Regime,67,39,5.91,Hybrid Regime,4124.06,48.2,51.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.42,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4124.06,NA,NA,NA,NA,48.2,51.8,15.42
Albania,2015,36,NA,NA,NA,NA,NA,NA,5.91,Hybrid Regime,67,36,5.91,Hybrid Regime,3952.8,49.6,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.19,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,3952.8,NA,NA,NA,NA,49.6,50.4,17.19
Albania,2014,33,NA,NA,NA,NA,NA,NA,5.67,Hybrid Regime,67,33,5.67,Hybrid Regime,4578.63,51.3,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.05,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4578.63,NA,NA,NA,NA,51.3,48.7,18.05
Albania,2013,31,NA,NA,NA,NA,NA,NA,5.67,Hybrid Regime,63,31,5.67,Hybrid Regime,4413.06,47,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.87,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4413.06,NA,NA,NA,NA,47,53,15.87
Albania,2012,33,NA,NA,NA,NA,NA,NA,5.67,Hybrid Regime,NA,33,5.67,Hybrid Regime,4247.63,30.1,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.38,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4247.63,NA,NA,NA,NA,30.1,69.9,13.38
Albania,2011,NA,NA,NA,NA,NA,NA,NA,5.81,Hybrid Regime,NA,NA,5.81,Hybrid Regime,4437.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.48,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4437.14,NA,NA,NA,NA,NA,NA,13.48
Albania,2010,NA,NA,NA,NA,NA,NA,NA,5.86,Hybrid Regime,NA,NA,5.86,Hybrid Regime,4094.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.09,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4094.35,NA,NA,NA,NA,NA,NA,14.09
Albania,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4114.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.67,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4114.13,NA,NA,NA,NA,NA,NA,13.67
Albania,2008,NA,NA,NA,NA,NA,NA,NA,5.91,Hybrid Regime,NA,NA,5.91,Hybrid Regime,4370.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.06,22 Dec 2009,11 Feb 2013,NA,signed & ratified,4,4370.54,NA,NA,NA,NA,NA,NA,13.06
Algeria,2023,NA,80,29,35,70,25,32,NA,NA,32,NA,NA,NA,NA,52.6,47.4,80,29,35,70,25,32,NA,NA,NA,NA,NA,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,NA,NA,NA,NA,NA,52.6,47.4,NA
Algeria,2022,33,NA,NA,NA,NA,NA,NA,3.66,Authoritarian Regime,32,33,3.66,Authoritarian Regime,4273.92,53.8,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,4273.92,NA,NA,NA,NA,53.8,46.2,NA
Algeria,2021,33,NA,NA,NA,NA,NA,NA,3.77,Authoritarian Regime,32,33,3.77,Authoritarian Regime,3700.31,51.9,48.1,NA,NA,NA,NA,NA,NA,0.74,76.38,14.63,8.07,NA,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,3700.31,0.74,76.38,14.63,8.07,51.9,48.1,NA
Algeria,2020,36,NA,NA,NA,NA,NA,NA,3.77,Authoritarian Regime,34,36,3.77,Authoritarian Regime,3354.16,49.8,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,3354.16,NA,NA,NA,NA,49.8,50.2,NA
Algeria,2019,35,NA,NA,NA,NA,NA,NA,4.01,Hybrid Regime,34,35,4.01,Hybrid Regime,4021.98,48.3,51.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,4021.98,NA,NA,NA,NA,48.3,51.7,NA
Algeria,2018,35,NA,NA,NA,NA,NA,NA,3.5,Authoritarian Regime,35,35,3.5,Authoritarian Regime,4171.8,50.7,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,4171.8,NA,NA,NA,NA,50.7,49.3,NA
Algeria,2017,33,NA,NA,NA,NA,NA,NA,3.56,Authoritarian Regime,35,33,3.56,Authoritarian Regime,4134.94,49.6,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,4134.94,NA,NA,NA,NA,49.6,50.4,12
Algeria,2016,34,NA,NA,NA,NA,NA,NA,3.56,Authoritarian Regime,35,34,3.56,Authoritarian Regime,3967.2,57.6,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,3967.2,NA,NA,NA,NA,57.6,42.4,10.2
Algeria,2015,36,NA,NA,NA,NA,NA,NA,3.95,Authoritarian Regime,34,36,3.95,Authoritarian Regime,4197.42,51.3,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.21,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,4197.42,NA,NA,NA,NA,51.3,48.7,11.21
Algeria,2014,36,NA,NA,NA,NA,NA,NA,3.83,Authoritarian Regime,34,36,3.83,Authoritarian Regime,5516.23,52.3,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.21,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,5516.23,NA,NA,NA,NA,52.3,47.7,10.21
Algeria,2013,36,NA,NA,NA,NA,NA,NA,3.83,Authoritarian Regime,35,36,3.83,Authoritarian Regime,5519.78,51.8,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,5519.78,NA,NA,NA,NA,51.8,48.2,9.82
Algeria,2012,34,NA,NA,NA,NA,NA,NA,3.83,Authoritarian Regime,NA,34,3.83,Authoritarian Regime,5610.73,64.8,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.97,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,5610.73,NA,NA,NA,NA,64.8,35.2,10.97
Algeria,2011,NA,NA,NA,NA,NA,NA,NA,3.44,Authoritarian Regime,NA,NA,3.44,Authoritarian Regime,5473.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.96,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,5473.28,NA,NA,NA,NA,NA,NA,9.96
Algeria,2010,NA,NA,NA,NA,NA,NA,NA,3.44,Authoritarian Regime,NA,NA,3.44,Authoritarian Regime,4495.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.96,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,4495.92,NA,NA,NA,NA,NA,NA,9.96
Algeria,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3898.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.16,30 Mar 2007,04 Dec 2009,NA,signed & ratified,4,3898.48,NA,NA,NA,NA,NA,NA,10.16
